scripts/13_tonal_subspace.py:41: UserWarning: A NumPy version >=1.26.4 and <2.7.0 is required for this version of SciPy (detected version 1.26.3)
  from scipy.spatial.distance import pdist, squareform
muq_L6     n/key=   1 fifths=+0.039+-0.028 kk=+0.057
muq_L6     n/key=   2 fifths=+0.101+-0.051 kk=+0.135
muq_L6     n/key=   4 fifths=+0.165+-0.039 kk=+0.217
muq_L6     n/key=   8 fifths=+0.241+-0.042 kk=+0.355
muq_L6     n/key=  16 fifths=+0.348+-0.032 kk=+0.514
muq_L6     n/key=  32 fifths=+0.419+-0.020 kk=+0.628
muq_L6     n/key=  64 fifths=+0.495+-0.019 kk=+0.729
muq_L6     n/key= 128 fifths=+0.521+-0.011 kk=+0.762
muq_L6     n/key= all fifths=+0.530+-0.000 kk=+0.777
muq_L8     n/key=   1 fifths=+0.035+-0.030 kk=+0.050
muq_L8     n/key=   2 fifths=+0.096+-0.052 kk=+0.126
muq_L8     n/key=   4 fifths=+0.150+-0.038 kk=+0.204
muq_L8     n/key=   8 fifths=+0.238+-0.047 kk=+0.340
muq_L8     n/key=  16 fifths=+0.352+-0.036 kk=+0.505
muq_L8     n/key=  32 fifths=+0.422+-0.020 kk=+0.624
muq_L8     n/key=  64 fifths=+0.512+-0.023 kk=+0.736
muq_L8     n/key= 128 fifths=+0.540+-0.013 kk=+0.771
muq_L8     n/key= all fifths=+0.545+-0.000 kk=+0.785
muq_L12    n/key=   1 fifths=+0.016+-0.046 kk=+0.022
muq_L12    n/key=   2 fifths=+0.033+-0.031 kk=+0.047
muq_L12    n/key=   4 fifths=+0.054+-0.039 kk=+0.094
muq_L12    n/key=   8 fifths=+0.088+-0.037 kk=+0.137
muq_L12    n/key=  16 fifths=+0.166+-0.055 kk=+0.240
muq_L12    n/key=  32 fifths=+0.229+-0.029 kk=+0.342
muq_L12    n/key=  64 fifths=+0.321+-0.021 kk=+0.480
muq_L12    n/key= 128 fifths=+0.364+-0.023 kk=+0.538
muq_L12    n/key= all fifths=+0.372+-0.000 kk=+0.544
matpac_L2  n/key=   1 fifths=+0.054+-0.037 kk=+0.081
matpac_L2  n/key=   2 fifths=+0.138+-0.038 kk=+0.183
matpac_L2  n/key=   4 fifths=+0.223+-0.043 kk=+0.278
matpac_L2  n/key=   8 fifths=+0.387+-0.049 kk=+0.488
matpac_L2  n/key=  16 fifths=+0.500+-0.049 kk=+0.635
matpac_L2  n/key=  32 fifths=+0.568+-0.039 kk=+0.726
matpac_L2  n/key=  64 fifths=+0.629+-0.024 kk=+0.804
matpac_L2  n/key= 128 fifths=+0.648+-0.007 kk=+0.823
matpac_L2  n/key= all fifths=+0.650+-0.000 kk=+0.827
matpac_L6  n/key=   1 fifths=+0.068+-0.037 kk=+0.088
matpac_L6  n/key=   2 fifths=+0.150+-0.054 kk=+0.184
matpac_L6  n/key=   4 fifths=+0.217+-0.041 kk=+0.270
matpac_L6  n/key=   8 fifths=+0.395+-0.051 kk=+0.495
matpac_L6  n/key=  16 fifths=+0.508+-0.038 kk=+0.644
matpac_L6  n/key=  32 fifths=+0.585+-0.037 kk=+0.746
matpac_L6  n/key=  64 fifths=+0.643+-0.021 kk=+0.817
matpac_L6  n/key= 128 fifths=+0.662+-0.006 kk=+0.838
matpac_L6  n/key= all fifths=+0.663+-0.000 kk=+0.837
matpac_L12 n/key=   1 fifths=+0.040+-0.037 kk=+0.050
matpac_L12 n/key=   2 fifths=+0.077+-0.051 kk=+0.104
matpac_L12 n/key=   4 fifths=+0.124+-0.034 kk=+0.159
matpac_L12 n/key=   8 fifths=+0.227+-0.052 kk=+0.296
matpac_L12 n/key=  16 fifths=+0.339+-0.048 kk=+0.429
matpac_L12 n/key=  32 fifths=+0.432+-0.069 kk=+0.560
matpac_L12 n/key=  64 fifths=+0.521+-0.028 kk=+0.672
matpac_L12 n/key= 128 fifths=+0.556+-0.018 kk=+0.712
matpac_L12 n/key= all fifths=+0.548+-0.000 kk=+0.709
pupujepa   n/key=   1 fifths=+0.006+-0.035 kk=+0.004
pupujepa   n/key=   2 fifths=+0.001+-0.046 kk=-0.008
pupujepa   n/key=   4 fifths=+0.016+-0.035 kk=+0.014
pupujepa   n/key=   8 fifths=-0.000+-0.025 kk=+0.002
pupujepa   n/key=  16 fifths=+0.019+-0.050 kk=+0.014
pupujepa   n/key=  32 fifths=+0.034+-0.035 kk=+0.032
pupujepa   n/key=  64 fifths=+0.063+-0.037 kk=+0.055
pupujepa   n/key= 128 fifths=+0.075+-0.022 kk=+0.061
pupujepa   n/key= all fifths=+0.072+-0.000 kk=+0.066
wrote runs/examples_per_centroid.json
